Fish farm name,Operator,Number of seals shot,Address,Lat,Long
Swining Voe 2,Greig Seafood Shetland Ltd,1,,60.4013638,-1.163365542
Nevis B,Scottish Sea Farms Ltd,1,,56.99290088,-5.708990424
Creag an T'Sagairt (Loch Hourn),Marine Harvest (Scotland) Ltd,1,,57.12464692,-5.631252921
Cairidh,Marine Harvest (Scotland) Ltd,1,,57.28232705,-6.060187063
North Havra,Greig Seafood Shetland Ltd,1,,60.16978644,-1.336853611
Loch Harport,Marine Harvest (Scotland) Ltd,1,,57.33437324,-6.410162708
Etive 3,Dawnfresh Farming Ltd,1,,56.44891312,-5.193105546
Portree,The Scottish Salmon Company,1,,57.41916699,-6.165346674
Eughlam,The Scottish Salmon Company,1,,58.25061744,-6.837525355
Plocrapol,The Scottish Salmon Company,1,,57.84919143,-6.748024301
Vestness,Cooke Aquaculture Scotland Ltd,1,,59.32686295,-2.915520826
Crooie,Scottish Sea Farms Ltd,1,,60.0887117,-1.286350027
Loch Tuath,The Scottish Salmon Company,1,,56.49369746,-6.194889988
Eilean Coltair,Kames Fish Farming Ltd,1,,56.25673508,-5.548549059
Meil Bay,Cooke Aquaculture Scotland Ltd,1,,58.99469986,-2.897984561
Inch Kenneth,The Scottish Salmon Company,1,,56.45058361,-6.139787465
Puldrite,Scottish Sea Farms Ltd,1,,59.04960341,-3.004005645
Punds Voe,Greig Seafood Shetland Ltd,1,,60.13279101,-1.301596661
East of Papa Little,Greig Seafood Shetland Ltd,1,,60.34419651,-1.38223395
Sconser,Marine Harvest (Scotland) Ltd,1,,57.30520876,-6.047759395
Holms Geo,Scottish Sea Farms Ltd,1,,60.06454724,-1.301242512
Pobie Sukka,Scottish Sea Farms Ltd,1,,60.50785998,-1.439209426
,,178,,,
